La intención se fortalece con presencia	活在当下，会让你的意图更加坚定。
Haz una cosa desde tu identidad elegida	从你选择的身份出发，完成一件事。
No negocies con el viejo hábito	不要向旧习惯妥协。
Tu mundo cambia cuando vuelves a ti	当你回到自己，世界也会随之改变。
Siente el resultado antes de perseguirlo	在追寻之前，先感受愿望实现后的状态。
Una emoción elevada reorganiza el día	积极而高昂的情绪能重新调整这一天。
Actúa como quien ya recuerda su poder	像已经记起自身力量的人那样行动。
La tarde aún tiene espacio para crear	这个下午依然留有创造的空间。
Tu siguiente elección también cuenta	你的下一个选择同样重要。
Vuelve al momento presente	回到此时此刻。
Haz una pausa, respira y continúa	停下来，深呼吸，然后继续
Regresa a tu centro	回到自己的中心。
Mantén viva tu intención	让你的意图继续保持鲜活。
Elige calma otra vez	再次选择平静。
Este instante también importa	这一刻同样重要。
Observa antes de reaccionar	回应之前，先观察。
Sigue creando conscientemente	继续有意识地创造。
Tu poder sigue aquí, contigo	你的力量始终在这里，与你同在。
Vuelve a lo esencial	回到真正重要的事。
Permanece presente	保持临在。
Conecta con tu propósito	重新连接你的目标。
Una pausa puede cambiarlo todo	一次停顿，可能改变一切。
Recuerda quién estás siendo	记住，你正在选择成为怎样的人。
Aún puedes elegir	你依然可以选择。
Vuelve a sentir plenitud	重新感受内在的完整与丰盛。
Crea desde este instante	从这一刻开始创造。
Recupera tu enfoque	找回你的专注。
Sigue alineado contigo	继续与真实的自己保持一致。
Cierra el día aceptando tu nuevo estado	带着对新状态的接纳结束这一天。
La noche integra lo que decides creer	夜晚会整合你选择相信的一切。
Antes de dormir, habita el resultado	入睡前，让自己进入愿望已经实现的状态。
Tu imaginación prepara el mañana	你的想象正在为明天铺路。
Suelta el día y conserva la visión	放下今天，保留心中的愿景。
Descansa en la identidad que estás creando	在你正在塑造的新身份中安然休息。
La calma nocturna reeduca el cuerpo	夜晚的平静正在重新训练你的身体。
Tu subconsciente escucha lo que sientes real	你的潜意识会听见你真切感受到的一切。
Duerme como quien ya recibió	带着已经拥有的满足感入睡。
La gratitud sella una nueva percepción	感恩会巩固全新的感知。
Esta noche no repites pasado, eliges futuro	今晚，不再重复过去，而是选择未来。
Permite que tu cuerpo memorice paz	让身体记住平静的感觉。
La quietud también es creación	宁静本身也是一种创造。
Revisa el día desde compasión y poder	带着慈悲与力量回顾今天。
Antes del sueño, vuelve a la imagen cumplida	入睡前，再次回到愿望已实现的画面。
Tu descanso puede fortalecer tu intención	你的休息也能强化内在意图。
Entrega la duda y conserva la certeza	放下怀疑，保留确信。
La noche convierte práctica en integración	夜晚让白天的练习沉淀并融入身心。
Imagina suavemente lo que deseas vivir	轻柔地想象你渴望体验的生活。
Mañana empieza en el estado que duermes hoy	明天始于你今晚入睡时的状态。
Agradece lo vivido hoy	感谢今天所经历的一切。
Integra las lecciones del día	让今天的领悟融入自己。
Descansa en confianza	安心而信任地休息。
Honra tu progreso	珍视自己的每一点进步。
Suelta lo que ya pasó	放下已经过去的事。
Conserva lo aprendido	留下今天学到的东西。
Termina el día en paz	在平静中结束这一天。
Observa con compasión	带着慈悲去观察。
Reconoce tu crecimiento	看见自己的成长。
Deja espacio para la calma	为平静留出空间。
Agradece y descansa	心怀感恩，安心休息。
Permite que todo se asiente	让一切慢慢沉淀。
Encuentra sentido en la experiencia	在经历中发现意义。
Libera el peso del día	卸下这一天的负担。
Abraza lo que descubriste	接纳今天的发现。
Descansa en tu nueva identidad	在全新的身份中安然休息。
Cierra el día conscientemente	有意识地结束这一天。
Todo aprendizaje suma	每一次学习都在积累。
Mañana continúa la creación	明天，创造仍将继续。
Duerme en coherencia	在身心协调的状态中入睡。
Relájate y disfruta tu descanso	放松下来，享受休息。
Cada noche es una oportunidad de crear	每个夜晚都是一次创造的机会。
Recupera e integra las experiencias del día	恢复能量，并整合今天的经历。
Bendice este día	祝福这一天。
Descansa en la certeza de tu poder creativo	带着对自身创造力的确信安然休息。
No dejes pasar este día sin bendecirte	不要让今天过去，却忘了祝福自己
Agradece, todo está en su justo lugar	心怀感恩，一切都在恰当的位置。
