Mantén viva tu intención	Keep your intention alive.
Elige calma otra vez	Choose calm once again.
Este instante también importa	This moment matters too.
Observa antes de reaccionar	Observe before you react.
Sigue creando conscientemente	Keep creating consciously.
Tu poder sigue aquí, contigo	Your power is still here with you.
Vuelve a lo esencial	Return to what matters most.
Permanece presente	Stay present.
Conecta con tu propósito	Reconnect with your purpose.
Una pausa puede cambiarlo todo	A pause can change everything.
Recuerda quién estás siendo	Remember who you are choosing to be.
Aún puedes elegir	You can still choose.
Vuelve a sentir plenitud	Return to a sense of wholeness.
Crea desde este instante	Create from this moment.
Recupera tu enfoque	Regain your focus.
Sigue alineado contigo	Stay aligned with yourself.
Cierra el día aceptando tu nuevo estado	Close the day by accepting your new state.
La noche integra lo que decides creer	The night integrates what you choose to believe.
Antes de dormir, habita el resultado	Before sleep, dwell in the fulfilled outcome.
Tu imaginación prepara el mañana	Your imagination prepares tomorrow.
Suelta el día y conserva la visión	Release the day and keep the vision.
Descansa en la identidad que estás creando	Rest in the identity you are creating.
La calma nocturna reeduca el cuerpo	Nighttime calm retrains the body.
Tu subconsciente escucha lo que sientes real	Your subconscious listens to what you feel is real.
Duerme como quien ya recibió	Sleep as if you have already received.
La gratitud sella una nueva percepción	Gratitude seals a new perception.
Esta noche no repites pasado, eliges futuro	Tonight you do not repeat the past; you choose the future.
Permite que tu cuerpo memorice paz	Let your body memorize peace.
La quietud también es creación	Stillness is also creation.
Revisa el día desde compasión y poder	Review the day with compassion and strength.
Antes del sueño, vuelve a la imagen cumplida	Before sleep, return to the fulfilled image.
Tu descanso puede fortalecer tu intención	Your rest can strengthen your intention.
Entrega la duda y conserva la certeza	Release doubt and keep certainty.
La noche convierte práctica en integración	Night turns practice into integration.
Imagina suavemente lo que deseas vivir	Gently imagine what you wish to experience.
Mañana empieza en el estado que duermes hoy	Tomorrow begins in the state you fall asleep in tonight.
Agradece lo vivido hoy	Give thanks for what you experienced today.
Integra las lecciones del día	Integrate the lessons of the day.
Descansa en confianza	Rest in trust.
Honra tu progreso	Honor your progress.
Suelta lo que ya pasó	Release what has already passed.
Conserva lo aprendido	Keep what you have learned.
Termina el día en paz	End the day in peace.
Observa con compasión	Observe with compassion.
Reconoce tu crecimiento	Recognize your growth.
Deja espacio para la calma	Make room for calm.
Agradece y descansa	Give thanks and rest.
Permite que todo se asiente	Allow everything to settle.
Encuentra sentido en la experiencia	Find meaning in the experience.
Libera el peso del día	Release the weight of the day.
Abraza lo que descubriste	Embrace what you discovered.
Descansa en tu nueva identidad	Rest in your new identity.
Cierra el día conscientemente	Close the day consciously.
Todo aprendizaje suma	Every lesson contributes.
Mañana continúa la creación	Creation continues tomorrow.
Duerme en coherencia	Sleep in coherence.
Relájate y disfruta tu descanso	Relax and enjoy your rest.
Cada noche es una oportunidad de crear	Every night is an opportunity to create.
Recupera e integra las experiencias del día	Restore yourself and integrate the day's experiences.
Bendice este día	Bless this day.
Descansa en la certeza de tu poder creativo	Rest in the certainty of your creative power.
No dejes pasar este día sin bendecirte	Don’t let this day pass without blessing yourself
Agradece, todo está en su justo lugar	Give thanks; everything is in its rightful place.
